LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Frequency,Frequency Stability,Normal temperature Frequency Tolerance,Output Type,Voltage - Supply,Current - Supply,Operating Temperature,Load Capacitance,Equivalent Series Resistance(ESR)
C7425461,OT7EL89CJI-111YLC-12M,YXC Crystal Oscillators,https://datasheet.lcsc.com/datasheet/pdf/b336a5b52993e15e0134a8f3d7decec7.pdf?productCode=C7425461,4070,0.6079,1,1,https://www.lcsc.com/product-detail/C7425461.html,SMD2016-4P,Tape & Reel (TR),12MHz,±20ppm,±10ppm,CMOS,1.8V~3.3V,,-40℃~+85℃,,
C5765984,CN4050M00010,JWT,https://datasheet.lcsc.com/datasheet/pdf/f86793e9052f2f007586302ffaaefe00.pdf?productCode=C5765984,4060,0.0900,5,5,https://www.lcsc.com/product-detail/C5765984.html,SMD2016-4P,Tape & Reel (TR),50MHz,±20ppm,±10ppm,,,,,10pF,
C41407014,CN4026M00006BE840000,JWT,https://datasheet.lcsc.com/datasheet/pdf/72e8ceb9b32d691d2bbaa2905a2b476a.pdf?productCode=C41407014,4050,0.0826,5,5,https://www.lcsc.com/product-detail/C41407014.html,SMD2016-4P,Tape & Reel (TR),26MHz,±30ppm,±8ppm,,,,-40℃~+125℃,6pF,40Ω
C255898,Q22FA12800101,EPSON,https://datasheet.lcsc.com/datasheet/pdf/cc7880a1061e25b063458cc02641f570.pdf?productCode=C255898,4030,0.2806,5,5,https://www.lcsc.com/product-detail/C255898.html,SMD2016-4P,Tape & Reel (TR),40MHz,,±10ppm,,,,-40℃~+85℃,10pF,60Ω
C42420968,2.D.1.400001010,MDH,https://datasheet.lcsc.com/datasheet/pdf/ced8dfe2b9c4b8aff67852743c4b1803.pdf?productCode=C42420968,4020,0.0722,10,10,https://www.lcsc.com/product-detail/C42420968.html,SMD2016-4P,Tape & Reel (TR),40MHz,-,-,,,,-40℃~+85℃,10pF,30Ω
C1669725,XRCGB25M000FAN00R0,muRata,https://datasheet.lcsc.com/datasheet/pdf/1efcbade6e58e1fd7462ccab6a0dc7ba.pdf?productCode=C1669725,4020,0.2425,5,5,https://www.lcsc.com/product-detail/C1669725.html,SMD2016-4P,Tape & Reel (TR),25MHz,±25ppm,±25ppm,,,,-10℃~+70℃,6pF,150Ω
C42420964,2.D.1.320000807,MDH,https://datasheet.lcsc.com/datasheet/pdf/28794b15d4ff648ef6028cd4f8c8dcee.pdf?productCode=C42420964,3970,0.0657,10,10,https://www.lcsc.com/product-detail/C42420964.html,SMD2016-4P,Tape & Reel (TR),32MHz,-,-,,,,-40℃~+85℃,8pF,40Ω
C20623604,SX20Y032000BK1T001,TKD,https://datasheet.lcsc.com/datasheet/pdf/4af264d09bbec48327451922af45584d.pdf?productCode=C20623604,3945,0.0818,5,5,https://www.lcsc.com/product-detail/C20623604.html,SMD2016-4P,Tape & Reel (TR),32MHz,,±10ppm,,,,-40℃~+85℃,20pF,50Ω
C2939053,TAXM32M4ZRBDDT2T,Yajingxin,https://datasheet.lcsc.com/datasheet/pdf/19a1adf670fae770b5d038cce6196787.pdf?productCode=C2939053,3890,0.0859,5,5,https://www.lcsc.com/product-detail/C2939053.html,SMD2016-4P,Tape & Reel (TR),32MHz,±20ppm,±10ppm,,,,-30℃~+85℃,6pF,50Ω
C1985757,XRCGB27M000F3A00R0,muRata,https://datasheet.lcsc.com/datasheet/pdf/d6b3c1aee32d49ed13d24d5ab7a5846a.pdf?productCode=C1985757,3865,0.3472,5,5,https://www.lcsc.com/product-detail/C1985757.html,SMD2016-4P,Tape & Reel (TR),27MHz,±30ppm,,-,-,-,-40℃~+125℃,,
C41399444,G201624MUBCE2O,Yajingxin,https://datasheet.lcsc.com/datasheet/pdf/260b48ab1e5c6869a4bff0950617d136.pdf?productCode=C41399444,3839,0.4020,1,1,https://www.lcsc.com/product-detail/C41399444.html,SMD2016-4P,Tape & Reel (TR),24MHz,±20ppm,±10ppm,CMOS,1.62V~3.63V,10mA,-40℃~+85℃,,
C48927872,8HSC327C0307L,CHANGXING ELECTRONICS,https://datasheet.lcsc.com/datasheet/pdf/5267c0bf99fd112a17b4a864ec36bd0a.pdf?productCode=C48927872,3795,0.1683,5,5,https://www.lcsc.com/product-detail/C48927872.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,-,±20ppm,,,,-40℃~+85℃,7pF,-
C7294696,CN4032M00008001,huaxindianzi,https://datasheet.lcsc.com/datasheet/pdf/a9dd47107274aa908231f52584de834a.pdf?productCode=C7294696,3795,0.0813,5,5,https://www.lcsc.com/product-detail/C7294696.html,SMD2016-4P,Tape & Reel (TR),32MHz,±30ppm,±10ppm,,,,-40℃~+85℃,8pF,60Ω
C2682777,X201624MMB4SI,YXC Crystal Oscillators,https://datasheet.lcsc.com/datasheet/pdf/03f32cc3dfdcdfc9fffa8449db791193.pdf?productCode=C2682777,3770,0.0971,5,5,https://www.lcsc.com/product-detail/C2682777.html,SMD2016-4P,Tape & Reel (TR),24MHz,±20ppm,±10ppm,,,,-40℃~+85℃,10pF,100Ω
C524688,7F27000E12UCG,SJK,https://datasheet.lcsc.com/datasheet/pdf/fddf1c11422398634f3ec0afa8cbc225.pdf?productCode=C524688,3755,0.1866,5,5,https://www.lcsc.com/product-detail/C524688.html,SMD2016-4P,Tape & Reel (TR),27MHz,±30ppm,±10ppm,,,,-40℃~+85℃,12pF,
C19723434,1X016000BP,huaxindianzi,https://datasheet.lcsc.com/datasheet/pdf/ee23306b73760e2c8d4f605a6b513f9a.pdf?productCode=C19723434,3725,0.0839,5,5,https://www.lcsc.com/product-detail/C19723434.html,SMD2016-4P,Tape & Reel (TR),16MHz,±30ppm,±10ppm,,,,-40℃~+85℃,12pF,60Ω
C20617556,XL7KI-111-32M,YXC Crystal Oscillators,https://datasheet.lcsc.com/datasheet/pdf/03f32cc3dfdcdfc9fffa8449db791193.pdf?productCode=C20617556,3705,0.0930,5,5,https://www.lcsc.com/product-detail/C20617556.html,SMD2016-4P,Tape & Reel (TR),32MHz,±20ppm,±10ppm,,,,-40℃~+85℃,8pF,80Ω
C1985361,ABS07-166-32.768KHZ-T,ABRACON,https://datasheet.lcsc.com/datasheet/pdf/cafdfa4ab8cfe1d2ae73f5349fd79586.pdf?productCode=C1985361,3623,0.9082,1,1,https://www.lcsc.com/product-detail/C1985361.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,-,±10ppm,,,,-40℃~+85℃,7pF,70kΩ
C54427945,YE16MFBCD2X,Yajingxin,https://datasheet.lcsc.com/datasheet/pdf/c1bd00f922a36f300e4db59dd0c2a022.pdf?productCode=C54427945,3620,0.0721,10,10,https://www.lcsc.com/product-detail/C54427945.html,SMD2016-4P,Tape & Reel (TR),16MHz,±20ppm,±10ppm,,,,-40℃~+85℃,12pF,80Ω
C1987059,ABM11W-27.1200MHZ-8-B1U-T3,ABRACON,https://datasheet.lcsc.com/datasheet/pdf/859e09f2b5059baf71f1b89444f4cc79.pdf?productCode=C1987059,3524,0.5760,1,1,https://www.lcsc.com/product-detail/C1987059.html,SMD2016-4P,Tape & Reel (TR),27.12MHz,±10ppm,±10ppm,,,,-20℃~+70℃,8pF,50Ω
C19270152,3131M-32.768DT09LLL,HCI,https://datasheet.lcsc.com/datasheet/pdf/30cea5fb4d3c9bcf5a50b1cd00711031.pdf?productCode=C19270152,3520,0.2049,5,5,https://www.lcsc.com/product-detail/C19270152.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,±20ppm,±20ppm,,,,-40℃~+85℃,9pF,70kΩ
C179635,ABS07-32.768KHZ-9-T,ABRACON,https://datasheet.lcsc.com/datasheet/pdf/c9586a2d2c4cd5a5d88cd317e9f784f1.pdf?productCode=C179635,3483,0.7174,1,1,https://www.lcsc.com/product-detail/C179635.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,-,±20ppm,,,,-40℃~+85℃,9pF,70kΩ
C255899,Q22FA12800332,EPSON,https://datasheet.lcsc.com/datasheet/pdf/072a7f7b720682eba8fb78c985213f61.pdf?productCode=C255899,3480,0.2464,5,5,https://www.lcsc.com/product-detail/C255899.html,SMD2016-4P,Tape & Reel (TR),40MHz,,±10ppm,,,,-40℃~+85℃,12pF,60Ω
C42438016,3131M-32.768DTTLRRL,HCI,https://datasheet.lcsc.com/datasheet/pdf/ebb12d978577111f034bc53b694684fc.pdf?productCode=C42438016,3465,0.3208,5,5,https://www.lcsc.com/product-detail/C42438016.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,±5ppm,±5ppm,,,,-40℃~+85℃,12.5pF,70kΩ
C7294669,CN4016M00012001,huaxindianzi,https://datasheet.lcsc.com/datasheet/pdf/d34c94833f8cfa26157ae92aac4355d1.pdf?productCode=C7294669,3460,0.0853,5,5,https://www.lcsc.com/product-detail/C7294669.html,SMD2016-4P,Tape & Reel (TR),16MHz,±30ppm,±10ppm,,,,-40℃~+85℃,12pF,60Ω
C2450269,ECS-.327-12.5-34R-TR,ECS,https://datasheet.lcsc.com/datasheet/pdf/5009e48e66465814f6b8ad484f12e7aa.pdf?productCode=C2450269,3459,0.8567,1,1,https://www.lcsc.com/product-detail/C2450269.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,-,±20ppm,,,,-40℃~+85℃,12.5pF,50kΩ
C7301950,SX1B27.000F1010F30,SCTF,https://datasheet.lcsc.com/datasheet/pdf/13229e0c60531151aa04379404d8b21a.pdf?productCode=C7301950,3450,0.1002,5,5,https://www.lcsc.com/product-detail/C7301950.html,SMD2016-4P,Tape & Reel (TR),27MHz,±30ppm,±10ppm,,,,-40℃~+85℃,10pF,60Ω
C7301949,SX1B27.000F0810F30,SCTF,https://datasheet.lcsc.com/datasheet/pdf/13229e0c60531151aa04379404d8b21a.pdf?productCode=C7301949,3440,0.0966,5,5,https://www.lcsc.com/product-detail/C7301949.html,SMD2016-4P,Tape & Reel (TR),27MHz,±30ppm,±10ppm,,,,-40℃~+85℃,8pF,60Ω
C254256,X2C024000B71H-V,HELE,https://datasheet.lcsc.com/datasheet/pdf/5026761b594782b7f76f12eaf9cb1a52.pdf?productCode=C254256,3430,0.2263,5,5,https://www.lcsc.com/product-detail/C254256.html,SMD2016-4P,Tape & Reel (TR),24MHz,±30ppm,±10ppm,,,,-40℃~+85℃,12.5pF,
C5366751,XRCGB32M000F1S1AR0,muRata,https://datasheet.lcsc.com/datasheet/pdf/e8b0d1c765296303d7092736d9ebc568.pdf?productCode=C5366751,3410,0.3010,5,5,https://www.lcsc.com/product-detail/C5366751.html,SMD2016-4P,Tape & Reel (TR),32MHz,±10ppm,±10ppm,,,,-30℃~+85℃,6pF,50Ω
C1870453,XRCGB40M000F1S1DR0,muRata,https://datasheet.lcsc.com/datasheet/pdf/bfedcaf468d85207e3d7d7c8268da985.pdf?productCode=C1870453,3395,0.2479,5,5,https://www.lcsc.com/product-detail/C1870453.html,SMD2016-4P,Tape & Reel (TR),40MHz,±10ppm,±10ppm,,,,-30℃~+85℃,12pF,50Ω
C596605,TZ2002B,TST,https://datasheet.lcsc.com/datasheet/pdf/41af6f7f0f6dd14f24d1167ed76590c1.pdf?productCode=C596605,3395,0.1469,5,5,https://www.lcsc.com/product-detail/C596605.html,SMD2016-4P,Tape & Reel (TR),32MHz,±15ppm,±10ppm,,,,-30℃~+85℃,8pF,50Ω
C7301951,SX1B27.000F1210F30,SCTF,https://datasheet.lcsc.com/datasheet/pdf/13229e0c60531151aa04379404d8b21a.pdf?productCode=C7301951,3380,0.0956,5,5,https://www.lcsc.com/product-detail/C7301951.html,SMD2016-4P,Tape & Reel (TR),27MHz,±30ppm,±10ppm,,,,-40℃~+85℃,12pF,60Ω
C256005,X1B0002110001,EPSON,https://datasheet.lcsc.com/datasheet/pdf/e62eed898cdaa2c61f373e39590616a9.pdf?productCode=C256005,3374,0.7365,1,1,https://www.lcsc.com/product-detail/C256005.html,SMD3215-4P,Tape & Reel (TR),32.768kHz,-120ppm~+10ppm,,CMOS,1.5V~5.5V,2mA,-40℃~+85℃,,
C6491652,ABS07-LR-32.768KHZ-6-1-T,ABRACON,https://datasheet.lcsc.com/datasheet/pdf/0ec3480d58aec46f6a366961a7e34f8f.pdf?productCode=C6491652,3369,1.1335,1,1,https://www.lcsc.com/product-detail/C6491652.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,,±10ppm,,,,-40℃~+85℃,6pF,50kΩ
C387601,ECS-.327-7-34B-TR,ECS,https://datasheet.lcsc.com/datasheet/pdf/a16e839627dc7b4d946b24e5a589031a.pdf?productCode=C387601,3365,1.2781,1,1,https://www.lcsc.com/product-detail/C387601.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,,±20ppm,,,,-40℃~+85℃,7pF,70kΩ
C252277,7F32000E12UCG,SJK,https://datasheet.lcsc.com/datasheet/pdf/4bd848b3d03475ce88c3ce1159aab5a1.pdf?productCode=C252277,3360,0.1850,5,5,https://www.lcsc.com/product-detail/C252277.html,SMD2016-4P,Tape & Reel (TR),32MHz,±30ppm,±10ppm,,,,-40℃~+85℃,12pF,
C41369870,SX1B39.000F1010F30,SCTF,https://datasheet.lcsc.com/datasheet/pdf/13229e0c60531151aa04379404d8b21a.pdf?productCode=C41369870,3320,0.0959,5,5,https://www.lcsc.com/product-detail/C41369870.html,SMD2016-4P,Tape & Reel (TR),39MHz,±30ppm,±10ppm,,,,-40℃~+85℃,10pF,60Ω
C5210656,X201625MOB4SI,YXC Crystal Oscillators,https://datasheet.lcsc.com/datasheet/pdf/03f32cc3dfdcdfc9fffa8449db791193.pdf?productCode=C5210656,3300,0.1076,5,5,https://www.lcsc.com/product-detail/C5210656.html,SMD2016-4P,Tape & Reel (TR),25MHz,±20ppm,±10ppm,,,,-40℃~+85℃,12pF,100Ω
C7301953,SX1B27.120F1010F30,SCTF,https://datasheet.lcsc.com/datasheet/pdf/13229e0c60531151aa04379404d8b21a.pdf?productCode=C7301953,3295,0.1025,5,5,https://www.lcsc.com/product-detail/C7301953.html,SMD2016-4P,Tape & Reel (TR),27.12MHz,±30ppm,±10ppm,,,,-40℃~+85℃,10pF,60Ω
C7301954,SX1B27.120F1210F30,SCTF,https://datasheet.lcsc.com/datasheet/pdf/13229e0c60531151aa04379404d8b21a.pdf?productCode=C7301954,3280,0.0967,5,5,https://www.lcsc.com/product-detail/C7301954.html,SMD2016-4P,Tape & Reel (TR),27.12MHz,±30ppm,±10ppm,,,,-40℃~+85℃,12pF,60Ω
C7275970,FC-135 32.7680KA-AG3,EPSON,https://datasheet.lcsc.com/datasheet/pdf/678bee3f71695ab857bf1f7d8238f208.pdf?productCode=C7275970,3280,0.1816,5,5,https://www.lcsc.com/product-detail/C7275970.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,-,±20ppm,,,,-40℃~+85℃,7pF,70kΩ
C7294682,CN4026M00007001,huaxindianzi,https://datasheet.lcsc.com/datasheet/pdf/7a2546bcf409b468b8496e49880288a1.pdf?productCode=C7294682,3275,0.0893,5,5,https://www.lcsc.com/product-detail/C7294682.html,SMD2016-4P,Tape & Reel (TR),26MHz,±30ppm,±10ppm,,,,-40℃~+85℃,7pF,60Ω
C42420969,2.D.1.480008813,MDH,https://datasheet.lcsc.com/datasheet/pdf/70c7b105f8a5db1ab1e1675f5d446d77.pdf?productCode=C42420969,3250,0.0749,10,10,https://www.lcsc.com/product-detail/C42420969.html,SMD2016-4P,Tape & Reel (TR),48MHz,-,-,,,,-40℃~+105℃,8.8pF,40Ω
C18214309,XKXEL89CII-SUAYLC-32.768K,YXC Crystal Oscillators,https://datasheet.lcsc.com/datasheet/pdf/816678a814b266af727e313205c8e9b5.pdf?productCode=C18214309,3235,0.2247,5,5,https://www.lcsc.com/product-detail/C18214309.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,±30ppm,±20ppm,,,,-40℃~+85℃,6pF,80kΩ
C7294691,CN4027M00012001,huaxindianzi,https://datasheet.lcsc.com/datasheet/pdf/0729eebd482c00804786d2c62d3337e3.pdf?productCode=C7294691,3230,0.0901,5,5,https://www.lcsc.com/product-detail/C7294691.html,SMD2016-4P,Tape & Reel (TR),27MHz,±30ppm,±10ppm,,,,-40℃~+85℃,12pF,60Ω
C5186571,NX2016SA-48MHZ-EXS00A-CS05517,NDK,https://datasheet.lcsc.com/datasheet/pdf/65a05a298c6335f9700bf79bd61ede7a.pdf?productCode=C5186571,3229,0.4164,1,1,https://www.lcsc.com/product-detail/C5186571.html,SMD2016-4P,Tape & Reel (TR),48MHz,±40ppm,±10ppm,,,,-40℃~+105℃,7pF,40Ω
C7464897,CN4040M00008001,huaxindianzi,https://datasheet.lcsc.com/datasheet/pdf/1fb0f0942778791a9cb16e71051b3536.pdf?productCode=C7464897,3210,0.0865,5,5,https://www.lcsc.com/product-detail/C7464897.html,SMD2016-4P,Tape & Reel (TR),40MHz,±30ppm,±10ppm,,,,-40℃~+85℃,8pF,60Ω
C7434947,OT7EL89CJI-111YLC-40M,YXC Crystal Oscillators,https://datasheet.lcsc.com/datasheet/pdf/b336a5b52993e15e0134a8f3d7decec7.pdf?productCode=C7434947,3189,0.5654,1,1,https://www.lcsc.com/product-detail/C7434947.html,SMD2016-4P,Tape & Reel (TR),40MHz,±20ppm,±10ppm,CMOS,1.8V~3.3V,,-40℃~+85℃,,
C5288798,3131M232768DTTLLLL,HCI,https://datasheet.lcsc.com/datasheet/pdf/f76eff92c5095c6d71361cb9182d5dca.pdf?productCode=C5288798,3185,0.1377,5,5,https://www.lcsc.com/product-detail/C5288798.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,±20ppm,±20ppm,,,,-40℃~+85℃,12.5pF,70kΩ
C1986195,XRCGB25M000F3M18R0,muRata,https://datasheet.lcsc.com/datasheet/pdf/66fad7a2187d5055c209069bad20c6f6.pdf?productCode=C1986195,3185,0.2247,5,5,https://www.lcsc.com/product-detail/C1986195.html,SMD2016-4P,Tape & Reel (TR),25MHz,±40ppm,±30ppm,,,,-30℃~+85℃,12pF,80Ω
C2889140,7F38400E08UCG,SJK,https://datasheet.lcsc.com/datasheet/pdf/46ab18199a0d1832299b69c717dc0c3f.pdf?productCode=C2889140,3175,0.1880,5,5,https://www.lcsc.com/product-detail/C2889140.html,SMD2016-4P,Tape & Reel (TR),38.4MHz,±30ppm,±10ppm,,,,-40℃~+85℃,8pF,
C54565438,YE16MDBCD2X,Yajingxin,https://datasheet.lcsc.com/datasheet/pdf/c1bd00f922a36f300e4db59dd0c2a022.pdf?productCode=C54565438,3150,0.0721,10,10,https://www.lcsc.com/product-detail/C54565438.html,SMD2016-4P,Tape & Reel (TR),16MHz,±20ppm,±10ppm,,,,-40℃~+85℃,10pF,80Ω
C54427948,YE384MCBCD2X,Yajingxin,https://datasheet.lcsc.com/datasheet/pdf/c1bd00f922a36f300e4db59dd0c2a022.pdf?productCode=C54427948,3150,0.0721,10,10,https://www.lcsc.com/product-detail/C54427948.html,SMD2016-4P,Tape & Reel (TR),38.4MHz,±20ppm,±10ppm,,,,-40℃~+85℃,9pF,40Ω
C54427944,YE32MFBCD2X,Yajingxin,https://datasheet.lcsc.com/datasheet/pdf/c1bd00f922a36f300e4db59dd0c2a022.pdf?productCode=C54427944,3150,0.0721,10,10,https://www.lcsc.com/product-detail/C54427944.html,SMD2016-4P,Tape & Reel (TR),32MHz,±20ppm,±10ppm,,,,-40℃~+85℃,12pF,40Ω
C46613782,3DSC240G0012L,CHANGXING ELECTRONICS,https://datasheet.lcsc.com/datasheet/pdf/5463db3480cfa095362bf869c33c0e78.pdf?productCode=C46613782,3150,0.0673,10,10,https://www.lcsc.com/product-detail/C46613782.html,SMD2016-4P,Tape & Reel (TR),24MHz,±30ppm,±10ppm,,,,-40℃~+85℃,12pF,-
C5185312,X321532768KLD2SI,YXC Crystal Oscillators,https://datasheet.lcsc.com/datasheet/pdf/816678a814b266af727e313205c8e9b5.pdf?productCode=C5185312,3150,0.4055,5,5,https://www.lcsc.com/product-detail/C5185312.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,±30ppm,±20ppm,,,,-40℃~+85℃,9pF,80kΩ
C280830,NX3215SA-32.768kHz-EXS00A-MU00202,NDK,https://datasheet.lcsc.com/datasheet/pdf/73ffe72e0ee69d98f3de749ff239042d.pdf?productCode=C280830,3145,0.3690,5,5,https://www.lcsc.com/product-detail/C280830.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,-,±20ppm,,,,-,7pF,-
C2932960,CN4027M12006T8188114,JWT,https://datasheet.lcsc.com/datasheet/pdf/cedc08295f389a70573727e4e63ae423.pdf?productCode=C2932960,3140,0.1390,5,5,https://www.lcsc.com/product-detail/C2932960.html,SMD2016-4P,Tape & Reel (TR),27.12MHz,±30ppm,±10ppm,,,,-40℃~+85℃,6pF,40Ω
C648972,7D040000H01,HD,https://datasheet.lcsc.com/datasheet/pdf/43cd15a7313bf4bd5318b81cd0f33444.pdf?productCode=C648972,3135,0.0952,5,5,https://www.lcsc.com/product-detail/C648972.html,SMD2016-4P,Tape & Reel (TR),40MHz,±20ppm,±10ppm,,,,-,9pF,
