"LCSC Part#","MPN","Manufacturer","Availability","Minimum","Multiples","Product Detail","Package","Packaging","Type","Resistance","Tolerance","Voltage Rating","Power(Watts)","Temperature Coefficient"
"C98220","RC0603FR-0710KL","YAGEO","11387600","100","100","https://www.lcsc.com/product-detail/C98220.html","0603","Tape & Reel (TR)","Thick Film Resistor","10kΩ","±1%","75V","100mW","±100ppm/℃"
"C22548","RC0603FR-071KL","YAGEO","7248200","100","100","https://www.lcsc.com/product-detail/C22548.html","0603","Tape & Reel (TR)","Thick Film Resistor","1kΩ","±1%","75V","100mW","±100ppm/℃"
"C606167","RC0402FR-7W100KL","YAGEO","3500","100","100","https://www.lcsc.com/product-detail/C606167.html","0402","Tape & Reel (TR)","Thick Film Resistor","100kΩ","±1%","50V","125mW","±100ppm/℃"
"C60490","RC0402FR-0710KL","YAGEO","4724500","100","100","https://www.lcsc.com/product-detail/C60490.html","0402","Tape & Reel (TR)","Thick Film Resistor","10kΩ","±1%","50V","62.5mW","±100ppm/℃"
"C105575","RC0603FR-0720KL","YAGEO","4310600","100","100","https://www.lcsc.com/product-detail/C105575.html","0603","Tape & Reel (TR)","Thick Film Resistor","20kΩ","±1%","75V","100mW","±100ppm/℃"
"C106232","RC0402FR-07100RL","YAGEO","4205200","100","100","https://www.lcsc.com/product-detail/C106232.html","0402","Tape & Reel (TR)","Thick Film Resistor","100Ω","±1%","50V","62.5mW","±100ppm/℃"
"C106235","RC0402FR-071KL","YAGEO","3511300","100","100","https://www.lcsc.com/product-detail/C106235.html","0402","Tape & Reel (TR)","Thick Film Resistor","1kΩ","±1%","50V","62.5mW","±100ppm/℃"
"C14675","RC0603FR-07100KL","YAGEO","2604600","100","100","https://www.lcsc.com/product-detail/C14675.html","0603","Tape & Reel (TR)","Thick Film Resistor","100kΩ","±1%","75V","100mW","±100ppm/℃"
"C138033","RC0402FR-071ML","YAGEO","1773400","100","100","https://www.lcsc.com/product-detail/C138033.html","0402","Tape & Reel (TR)","Thick Film Resistor","1MΩ","±1%","50V","62.5mW","±100ppm/℃"
"C84376","RC0805FR-0710KL","YAGEO","1745400","100","100","https://www.lcsc.com/product-detail/C84376.html","0805","Tape & Reel (TR)","Thick Film Resistor","10kΩ","±1%","150V","125mW","±100ppm/℃"
"C105574","RC0603FR-07200KL","YAGEO","1644100","100","100","https://www.lcsc.com/product-detail/C105574.html","0603","Tape & Reel (TR)","Thick Film Resistor","200kΩ","±1%","75V","100mW","±100ppm/℃"
"C114566","RC0805FR-0720KL","YAGEO","1565500","100","100","https://www.lcsc.com/product-detail/C114566.html","0805","Tape & Reel (TR)","Thick Film Resistor","20kΩ","±1%","150V","125mW","±100ppm/℃"
"C95781","RC0805FR-071KL","YAGEO","1134000","100","100","https://www.lcsc.com/product-detail/C95781.html","0805","Tape & Reel (TR)","Thick Film Resistor","1kΩ","±1%","150V","125mW","±100ppm/℃"
"C138031","RC0402FR-0720RL","YAGEO","1071700","100","100","https://www.lcsc.com/product-detail/C138031.html","0402","Tape & Reel (TR)","Thick Film Resistor","20Ω","±1%","50V","62.5mW","±100ppm/℃"
"C606169","RC0402FR-7W15KL","YAGEO","3000","100","100","https://www.lcsc.com/product-detail/C606169.html","0402","Tape & Reel (TR)","Thick Film Resistor","15kΩ","±1%","50V","125mW","±100ppm/℃"
"C93942","RC0402FR-0720KL","YAGEO","975700","100","100","https://www.lcsc.com/product-detail/C93942.html","0402","Tape & Reel (TR)","Thick Film Resistor","20kΩ","±1%","50V","62.5mW","±100ppm/℃"
"C6751129","RC0402FR-07200KP","YAGEO","900","100","100","https://www.lcsc.com/product-detail/C6751129.html","0402","Tape & Reel (TR)","Thick Film Resistor","200kΩ","±1%","","63mW","±100ppm/℃"
"C851820","RC0402FR-071K5P","YAGEO","9800","100","100","https://www.lcsc.com/product-detail/C851820.html","0402","Tape & Reel (TR)","Thick Film Resistor","1.5kΩ","±1%","","63mW","±100ppm/℃"
"C93947","RC0402FR-07150KL","YAGEO","828500","100","100","https://www.lcsc.com/product-detail/C93947.html","0402","Tape & Reel (TR)","Thick Film Resistor","150kΩ","±1%","50V","62.5mW","±100ppm/℃"
"C114664","RC0603FR-07200RL","YAGEO","813100","100","100","https://www.lcsc.com/product-detail/C114664.html","0603","Tape & Reel (TR)","Thick Film Resistor","200Ω","±1%","75V","100mW","±100ppm/℃"
"C5842895","RC0402FR-0740K2P","YAGEO","5100","100","100","https://www.lcsc.com/product-detail/C5842895.html","0402","Tape & Reel (TR)","Thick Film Resistor","40.2kΩ","±1%","","63mW","±100ppm/℃"
"C138065","RC0402FR-07110KL","YAGEO","777100","100","100","https://www.lcsc.com/product-detail/C138065.html","0402","Tape & Reel (TR)","Thick Film Resistor","110kΩ","±1%","50V","62.5mW","±100ppm/℃"
"C96346","RC0805FR-07100KL","YAGEO","774600","100","100","https://www.lcsc.com/product-detail/C96346.html","0805","Tape & Reel (TR)","Thick Film Resistor","100kΩ","±1%","150V","125mW","±100ppm/℃"
"C114660","RC0603FR-07150KL","YAGEO","765700","100","100","https://www.lcsc.com/product-detail/C114660.html","0603","Tape & Reel (TR)","Thick Film Resistor","150kΩ","±1%","75V","100mW","±100ppm/℃"
"C93946","RC0402FR-07130KL","YAGEO","749700","100","100","https://www.lcsc.com/product-detail/C93946.html","0402","Tape & Reel (TR)","Thick Film Resistor","130kΩ","±1%","50V","62.5mW","±100ppm/℃"
"C87044","RC0402FR-0749R9L","YAGEO","732200","100","100","https://www.lcsc.com/product-detail/C87044.html","0402","Tape & Reel (TR)","Thick Film Resistor","49.9Ω","±1%","50V","62.5mW","±100ppm/℃"
"C128059","RC0603FR-0715RL","YAGEO","713700","100","100","https://www.lcsc.com/product-detail/C128059.html","0603","Tape & Reel (TR)","Thick Film Resistor","15Ω","±1%","75V","100mW","±100ppm/℃"
"C114668","RC0603FR-071K5L","YAGEO","693400","100","100","https://www.lcsc.com/product-detail/C114668.html","0603","Tape & Reel (TR)","Thick Film Resistor","1.5kΩ","±1%","75V","100mW","±100ppm/℃"
"C137969","RC0402FR-0749K9L","YAGEO","675400","100","100","https://www.lcsc.com/product-detail/C137969.html","0402","Tape & Reel (TR)","Thick Film Resistor","49.9kΩ","±1%","50V","62.5mW","±100ppm/℃"
"C114567","RC0805FR-07200RL","YAGEO","674900","100","100","https://www.lcsc.com/product-detail/C114567.html","0805","Tape & Reel (TR)","Thick Film Resistor","200Ω","±1%","150V","125mW","±100ppm/℃"
"C114661","RC0603FR-0715KL","YAGEO","672700","100","100","https://www.lcsc.com/product-detail/C114661.html","0603","Tape & Reel (TR)","Thick Film Resistor","15kΩ","±1%","75V","100mW","±100ppm/℃"
"C105576","RC0603FR-072KL","YAGEO","660100","100","100","https://www.lcsc.com/product-detail/C105576.html","0603","Tape & Reel (TR)","Thick Film Resistor","2kΩ","±1%","75V","100mW","±100ppm/℃"
"C114572","RC0805FR-072KL","YAGEO","590500","100","100","https://www.lcsc.com/product-detail/C114572.html","0805","Tape & Reel (TR)","Thick Film Resistor","2kΩ","±1%","150V","125mW","±100ppm/℃"
"C114625","RC0603FR-0749R9L","YAGEO","469800","100","100","https://www.lcsc.com/product-detail/C114625.html","0603","Tape & Reel (TR)","Thick Film Resistor","49.9Ω","±1%","75V","100mW","±100ppm/℃"
"C137936","RC0402FR-07750RL","YAGEO","462100","100","100","https://www.lcsc.com/product-detail/C137936.html","0402","Tape & Reel (TR)","Thick Film Resistor","750Ω","±1%","50V","62.5mW","±100ppm/℃"
"C114558","RC0805FR-07150KL","YAGEO","460100","100","100","https://www.lcsc.com/product-detail/C114558.html","0805","Tape & Reel (TR)","Thick Film Resistor","150kΩ","±1%","150V","125mW","±100ppm/℃"
"C114555","RC0805FR-071K5L","YAGEO","436100","100","100","https://www.lcsc.com/product-detail/C114555.html","0805","Tape & Reel (TR)","Thick Film Resistor","1.5kΩ","±1%","150V","125mW","±100ppm/℃"
"C723351","RC0805FR-7W100RL","YAGEO","13780","20","20","https://www.lcsc.com/product-detail/C723351.html","0805","Tape & Reel (TR)","Thick Film Resistor","100Ω","±1%","150V","250mW","±100ppm/℃"
"C137934","RC0402FR-077K5L","YAGEO","406100","100","100","https://www.lcsc.com/product-detail/C137934.html","0402","Tape & Reel (TR)","Thick Film Resistor","7.5kΩ","±1%","50V","62.5mW","±100ppm/℃"
"C137745","RC0603FR-0730K1L","YAGEO","396300","100","100","https://www.lcsc.com/product-detail/C137745.html","0603","Tape & Reel (TR)","Thick Film Resistor","30.1kΩ","±1%","75V","100mW","±100ppm/℃"
