LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Type,Resistance,Tolerance,Voltage Rating,Power(Watts),Temperature Coefficient
C226380,AC0402FR-07267KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C226380,1400,0.0019,100,100,https://www.lcsc.com/product-detail/C226380.html,0402,Tape & Reel (TR),Thick Film Resistor,267kΩ,±1%,50V,62.5mW,±100ppm/℃
C137691,RC0603FR-0766K5L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C137691,1400,0.0024,100,100,https://www.lcsc.com/product-detail/C137691.html,0603,Tape & Reel (TR),Thick Film Resistor,66.5kΩ,±1%,75V,100mW,±100ppm/℃
C137518,RC0805FR-074K3L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C137518,1400,0.0053,100,100,https://www.lcsc.com/product-detail/C137518.html,0805,Tape & Reel (TR),Thick Film Resistor,4.3kΩ,±1%,150V,125mW,±100ppm/℃
C6732989,AC0805FR-7W750KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C6732989,1300,0.0044,100,100,https://www.lcsc.com/product-detail/C6732989.html,0805,Tape & Reel (TR),Thick Film Resistor,750kΩ,±1%,,250mW,±100ppm/℃
C1882616,AF0603FR-07560RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/ebd14ddabfb2b500a2b3786a8b0d1c4f.pdf?productCode=C1882616,1300,0.0040,100,100,https://www.lcsc.com/product-detail/C1882616.html,0603,Tape & Reel (TR),Thick Film Resistor,560Ω,±1%,75V,100mW,±100ppm/℃
C910909,AC0402FR-074M87L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C910909,1300,0.0016,100,100,https://www.lcsc.com/product-detail/C910909.html,0402,Tape & Reel (TR),Thick Film Resistor,4.87MΩ,±1%,50V,62.5mW,±100ppm/℃
C705033,AF0402FR-075K49L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/ebd14ddabfb2b500a2b3786a8b0d1c4f.pdf?productCode=C705033,1300,0.0047,100,100,https://www.lcsc.com/product-detail/C705033.html,0402,Tape & Reel (TR),Thick Film Resistor,5.49kΩ,±1%,50V,62.5mW,±100ppm/℃
C483214,RC0805FR-07681RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C483214,1300,0.0053,100,100,https://www.lcsc.com/product-detail/C483214.html,0805,Tape & Reel (TR),Thick Film Resistor,681Ω,±1%,150V,125mW,±100ppm/℃
C482777,RC0603FR-0717R8L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C482777,1300,0.0017,100,100,https://www.lcsc.com/product-detail/C482777.html,0603,Tape & Reel (TR),Thick Film Resistor,17.8Ω,±1%,75V,100mW,±100ppm/℃
C273772,RC0603FR-072K15L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C273772,1300,0.0023,100,100,https://www.lcsc.com/product-detail/C273772.html,0603,Tape & Reel (TR),Thick Film Resistor,2.15kΩ,±1%,75V,100mW,±100ppm/℃
C228857,AC0805FR-07499KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C228857,1300,0.0062,100,100,https://www.lcsc.com/product-detail/C228857.html,0805,Tape & Reel (TR),Thick Film Resistor,499kΩ,±1%,150V,125mW,±100ppm/℃
C228050,AC0603FR-07768RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C228050,1300,0.0035,100,100,https://www.lcsc.com/product-detail/C228050.html,0603,Tape & Reel (TR),Thick Film Resistor,768Ω,±1%,75V,100mW,±100ppm/℃
C228008,AC0603FR-0764R9L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C228008,1300,0.0024,100,100,https://www.lcsc.com/product-detail/C228008.html,0603,Tape & Reel (TR),Thick Film Resistor,64.9Ω,±1%,75V,100mW,±100ppm/℃
C227863,AC0603FR-073K4L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C227863,1300,0.0032,100,100,https://www.lcsc.com/product-detail/C227863.html,0603,Tape & Reel (TR),Thick Film Resistor,3.4kΩ,±1%,75V,100mW,±100ppm/℃
C227854,AC0603FR-0739K2L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C227854,1300,0.0033,100,100,https://www.lcsc.com/product-detail/C227854.html,0603,Tape & Reel (TR),Thick Film Resistor,39.2kΩ,±1%,75V,100mW,±100ppm/℃
C227595,AC0603FR-0714RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C227595,1300,0.0033,100,100,https://www.lcsc.com/product-detail/C227595.html,0603,Tape & Reel (TR),Thick Film Resistor,14Ω,±1%,75V,100mW,±100ppm/℃
C227004,AC0402FR-07348RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C227004,1300,0.0013,100,100,https://www.lcsc.com/product-detail/C227004.html,0402,Tape & Reel (TR),Thick Film Resistor,348Ω,±1%,50V,62.5mW,±100ppm/℃
C144690,AC0603FR-071K1L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C144690,1300,0.0033,100,100,https://www.lcsc.com/product-detail/C144690.html,0603,Tape & Reel (TR),Thick Film Resistor,1.1kΩ,±1%,75V,100mW,±100ppm/℃
C144540,AC0805FR-079K76L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C144540,1300,0.0061,100,100,https://www.lcsc.com/product-detail/C144540.html,0805,Tape & Reel (TR),Thick Film Resistor,9.76kΩ,±1%,150V,125mW,±100ppm/℃
C141702,RC0805FR-07910RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C141702,1300,0.0054,100,100,https://www.lcsc.com/product-detail/C141702.html,0805,Tape & Reel (TR),Thick Film Resistor,910Ω,±1%,150V,125mW,±100ppm/℃
C137796,RC0603FR-0713KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C137796,1300,0.0061,100,100,https://www.lcsc.com/product-detail/C137796.html,0603,Tape & Reel (TR),Thick Film Resistor,13kΩ,±1%,75V,100mW,±100ppm/℃
C483201,RC0805FR-076M81L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C483201,1250,0.0073,50,50,https://www.lcsc.com/product-detail/C483201.html,0805,Tape & Reel (TR),Thick Film Resistor,6.81MΩ,±1%,150V,125mW,±100ppm/℃
C4265371,AF0603FR-07220KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/ebd14ddabfb2b500a2b3786a8b0d1c4f.pdf?productCode=C4265371,1200,0.0044,100,100,https://www.lcsc.com/product-detail/C4265371.html,0603,Tape & Reel (TR),Thick Film Resistor,220kΩ,±1%,75V,100mW,±100ppm/℃
C4200342,AF0805FR-0727KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/ebd14ddabfb2b500a2b3786a8b0d1c4f.pdf?productCode=C4200342,1200,0.0095,50,50,https://www.lcsc.com/product-detail/C4200342.html,0805,Tape & Reel (TR),Thick Film Resistor,27kΩ,±1%,150V,125mW,±100ppm/℃
C2105383,AF0805FR-073K3L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/ebd14ddabfb2b500a2b3786a8b0d1c4f.pdf?productCode=C2105383,1200,0.0115,50,50,https://www.lcsc.com/product-detail/C2105383.html,0805,Tape & Reel (TR),Thick Film Resistor,3.3kΩ,±1%,150V,125mW,±100ppm/℃
C2098864,AF0603FR-0712K4L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/ebd14ddabfb2b500a2b3786a8b0d1c4f.pdf?productCode=C2098864,1200,0.0054,100,100,https://www.lcsc.com/product-detail/C2098864.html,0603,Tape & Reel (TR),Thick Film Resistor,12.4kΩ,±1%,75V,100mW,±100ppm/℃
C705038,AF0402FR-07750RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/ebd14ddabfb2b500a2b3786a8b0d1c4f.pdf?productCode=C705038,1200,0.0050,100,100,https://www.lcsc.com/product-detail/C705038.html,0402,Tape & Reel (TR),Thick Film Resistor,750Ω,±1%,50V,62.5mW,±100ppm/℃
C482910,RC0603FR-077M5L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C482910,1200,0.0024,100,100,https://www.lcsc.com/product-detail/C482910.html,0603,Tape & Reel (TR),Thick Film Resistor,7.5MΩ,±1%,75V,100mW,±100ppm/℃
C482826,RC0603FR-073M24L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C482826,1200,0.0023,100,100,https://www.lcsc.com/product-detail/C482826.html,0603,Tape & Reel (TR),Thick Film Resistor,3.24MΩ,±1%,75V,100mW,±100ppm/℃
C273956,RC0805FR-0729K4L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C273956,1200,0.0051,100,100,https://www.lcsc.com/product-detail/C273956.html,0805,Tape & Reel (TR),Thick Film Resistor,29.4kΩ,±1%,150V,125mW,±100ppm/℃
